"stock.s_1","stock.s_2","stock.s_3","stock.s_4","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","effort.t_1","effort.t_2","effort.t_3","effort.t_4","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","mortality1","mortality2","mortality3","mortality4"
42.3062800989816,139.835992285645,637.904909781598,638.128728524641,4.62580854688398,13.7612050857022,102.580340997553,111.881228740369,4.00755581540261,15.5390109978905,9.57007800882639,10.414264069299,11090.9942438858,24063.9552600147,212742.057150917,232031.254143457,232041.668407526,212751.627228926,24079.4942710126,11095.0017997012,0.112090763076336,0.1,0.164630568477471,0.179152793991996
43.298965789463,142.002068775471,651.068096836678,649.975080312668,4.74214321921604,13.9835992285646,105.018647931918,114.32254464175,4.00755581540284,15.5390109978905,9.5700780088282,10.4142640692971,11370.0229554743,24453.1027551367,217799.105732789,237094.543322921,237104.95758699,217808.675810797,24468.6417661346,11374.0305112897,0.112090763076336,0.1,0.164630568477471,0.179152793991996
44.2451700755488,144.108917596245,662.689039684042,660.20134688445,4.85341411575707,14.200206877547,107.185710899751,116.444851663187,4.00755581540284,15.5390109978904,9.57007800882639,10.4142640692971,11636.9062008279,24832.1249854027,222293.594328074,241496.208085381,241506.622349451,222303.164406083,24847.6639964006,11640.9137566433,0.112090763076336,0.1,0.164630568477471,0.179152793991996
45.1440912740234,146.155442746907,672.88747462984,668.975148441613,4.95947487621052,14.4108917596243,109.098873326977,118.276915891608,4.00755581540284,15.5390109978903,9.5700780088282,10.4142640692953,11891.2929347755,25200.7834989103,226261.493202141,245295.909295127,245306.323559196,226271.06328015,25216.3225099082,11895.3004905909,0.112090763076336,0.1,0.164630568477471,0.179152793991996
45.9953997059096,148.140807495477,681.790432366208,676.462946206109,5.06023563929303,14.6155442746907,110.777847469684,119.848766954505,4.00755581540284,15.5390109978904,9.5700780088282,10.4142640692953,12132.9676250289,25558.8865162986,229743.685574116,248555.928399575,248566.342663644,229753.255652125,25574.4255272964,12136.9751808443,0.112090763076336,0.1,0.164630568477471,0.179152793991996
46.7991985304055,150.064425065989,689.526480615645,682.824136383517,5.15565945103648,14.8140807495478,112.243546462975,121.190226844904,4.00755581540284,15.5390109978905,9.57007800883002,10.414264069299,12361.8416374956,25906.2876253683,232783.5452862,251338.116212261,251348.53047633,232793.115364209,25921.8266363662,12365.849193311,0.112090763076336,0.1,0.164630568477471,0.179152793991996
47.5559795279297,151.925947724993,696.221322448454,688.207175362986,5.24575787463379,15.0064425065988,113.517136484006,122.329851838237,4.00755581540261,15.5390109978904,9.57007800882639,10.4142640692935,12577.9427064937,26242.8841514738,235424.970989819,253701.698448434,253712.112712504,235434.541067828,26258.4231624717,12581.9502623091,0.112090763076336,0.1,0.164630568477471,0.179152793991996
48.2665758129254,153.725254524947,701.99464738184,692.747364682269,5.33058603412855,15.1925947724992,114.619312100829,123.294238311598,4.00755581540307,15.5390109978904,9.5700780088282,10.4142640692953,12781.4030470419,26568.615247869,237710.883219111,255701.835994185,255712.250258254,237720.45329712,26584.1542588669,12785.4106028573,0.112090763076336,0.1,0.164630568477471,0.179152793991996
48.9321132803979,155.462437960767,706.958063207922,696.565907334886,5.41023731395262,15.3725254524945,115.569777866618,124.107625913443,4.00755581540284,15.5390109978903,9.5700780088282,10.414264069299,12972.4466417,26883.4597510316,239682.149217357,257388.801880412,257399.216144481,239691.719295366,26898.9987620295,12976.4541975154,0.112090763076336,0.1,0.164630568477471,0.179152793991996
49.5539623547199,157.137789789613,711.213908763086,699.769879068913,5.48483791653781,15.5462437960768,116.386907835656,124.791728498637,4.00755581540307,15.5390109978905,9.5700780088282,10.414264069299,13151.3761870005,27187.4338458153,241376.876773142,258807.630642105,258818.044906174,241386.44685115,27202.9728568132,13155.3837428159,0.112090763076336,0.1,0.164630568477471,0.179152793991996
50.1336913403803,158.751786253343,714.854748986981,702.452814553686,5.55454145379626,15.7137789789614,117.087550108755,125.365728986638,4.00755581540261,15.5390109978905,9.5700780088282,10.4142640692971,13318.5601211149,27480.5885841786,242830.008847549,259998.107654218,260008.521918287,242839.578925558,27496.1275951765,13322.5676769303,0.112090763076336,0.1,0.164630568477471,0.179152793991996
50.6730223943597,160.305072928786,717.96337224743,704.695671454259,5.61952371817671,15.8751786253344,117.686943704528,125.846384374835,4.00755581540284,15.5390109978905,9.57007800882639,10.4142640692971,13474.4200822314,27763.0072993985,244073.151165182,260994.986929339,261005.401193408,244082.721243191,27778.5463103964,13478.4276380468,0.112090763076336,0.1,0.164630568477471,0.179152793991996
51.1737908670778,161.798449413837,720.613137125492,706.567995248744,5.67997774756804,16.0305072928785,118.198718119078,126.248198455075,4.00755581540284,15.5390109978903,9.57007800882639,10.4142640692953,13619.4190717265,28034.8029551538,245134.571300959,261828.349331756,261838.763595826,245144.141378968,28050.3419661517,13623.4266275419,0.112090763076336,0.1,0.164630568477471,0.179152793991996
51.6379085068919,163.232854038147,722.868545462851,708.129158951878,5.73610926779957,16.1798449413839,118.634950417307,126.583630494137,4.00755581540284,15.5390109978906,9.5700780088282,10.4142640692971,13754.0505230019,28296.1154658851,246039.317087487,262524.035380771,262534.44964484,246048.887165496,28311.654476883,13758.0580788173,0.112090763076336,0.1,0.164630568477471,0.179152793991996
52.0673308011201,164.609348766613,724.785946639967,709.429593109002,5.78813256820352,16.3232854038148,119.006259574013,126.863317333432,4.00755581540284,15.5390109978905,9.57007800882639,10.4142640692971,13878.8284090207,28547.1090214513,246809.412278494,263104.105885469,263114.520149538,246818.982356503,28562.6480324492,13882.8359648361,0.112090763076336,0.1,0.164630568477471,0.179152793991996
52.4640285393861,165.929104442555,726.414302758439,710.511952822885,5.83626684084522,16.4609348766615,119.321922419824,127.096293746084,4.00755581540261,15.5390109978906,9.5700780088282,10.4142640692971,13994.2784619519,28787.9694455332,247464.097020705,263587.298965308,263597.713229377,247473.667098714,28803.5084565311,13998.2860177673,0.112090763076336,0.1,0.164630568477471,0.179152793991996
52.8299635343344,167.193386496133,727.795964868682,711.412191470403,5.88073299303811,16.5929104442554,119.589999613291,127.290201512908,4.00755581540261,15.5390109978904,9.5700780088282,10.4142640692953,14100.9305279865,29018.9016134647,248020.089119957,263989.463673702,263999.877937771,248029.659197966,29034.4406244626,14104.9380838019,0.112090763076336,0.1,0.164630568477471,0.179152793991996
