"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","effort.t_1","effort.t_2","profit_per_t.t_1","profit_per_t.t_2","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6"
370.726434716619,755.145801392236,969.741174021248,2852.59557623381,294.398533479692,34.5847239803966,1.80817006222598,0.457882892521105,0.749420165319791,7.60625823268994,3.18559514675239,0.0211787548762613,0.054058041452663,0,27333.6543528216,0,3376.13964547192,822.755172264561,1346.60920354826,18110.9780154325,3639.1709446874,38.0554294584485
370.755018830895,761.221906896728,969.79097305402,2892.9476309219,294.42369250591,34.5809037225991,1.79124768760258,0.458147899702262,0.742403040465286,7.65991120178642,3.15581283232042,0.0209825951812067,0.0535472530755214,0,27383.3012384289,0,3344.54289411808,823.231355219953,1334.00035560314,18238.7291006629,3605.14812372195,37.7029563559759
370.779223487625,766.077679700052,969.822382302083,2927.59017280953,294.444961931555,34.5834289657534,1.7769317242601,0.458107899038991,0.736450663443274,7.70558679861271,3.13061718428176,0.0208109948067728,0.0531151987670455,0,27425.4690176757,0,3317.81272508511,823.159479303342,1323.30471909407,18347.4855620735,3576.36503420464,37.3946131137756
370.799674955053,769.943813638427,969.843467849085,2957.19034726986,294.46290005032,34.5820146477538,1.76485160299236,0.457866017703578,0.731419987440954,7.74434204677303,3.10935592577534,0.0206696753066659,0.0527506617072504,0,27461.1760302449,0,3295.2572270232,822.724850442916,1314.26525776345,18439.7642391762,3552.07652589155,37.1406806092992
370.816916309669,773.012897049893,969.85848418971,2982.37908557706,294.477993996445,34.5830070700383,1.75468190511828,0.457499776584067,0.727180988051904,7.77713746098939,3.09145653666935,0.020548595488299,0.0524438010761514,0,27491.3353015328,0,3276.26879175794,822.066763451032,1306.64833490057,18517.8521777801,3531.62856130052,36.9231161437003
370.831422009514,775.443537421086,969.869722901495,3003.73907834009,294.490671931415,34.5824961057187,1.7461367222663,0.457065295923611,0.723617223274803,7.8048218689307,3.07641599883489,0.0204481612411897,0.0521859767613932,0,27516.7518154708,0,3260.31358311521,821.286059003502,1300.24471958542,18583.7704898143,3514.44650088225,36.7426490469133
370.843604042445,777.364985962706,969.878457294735,3021.79843124954,294.501303068866,34.5828959447982,1.73896864331284,0.456602415954213,0.720626857988502,7.8281451843339,3.06379903293318,0.020363121890361,0.0519697147537954,0,27538.1311281733,0,3246.92964537495,820.454324743104,1294.87142753531,18639.3047669309,3500.03308875534,36.5898445484639
370.85381886737,778.881709410502,969.885426732211,3037.02859744285,294.510206194551,34.582720355795,1.73296400964038,0.45613828484617,0.718121420481708,7.84775947864811,3.05322970008381,0.0202923763304546,0.0517885627923533,0,27556.0852994841,0,3235.71804408719,819.620342351562,1290.3694867527,18686.0076321565,3487.95885859167,36.4627241072365
370.86237278084,780.077603183615,969.891085110047,3049.84532058538,294.517653520182,34.5828880246126,1.72794000068948,0.455690744709279,0.716024948456274,7.86423036597617,3.04438630751867,0.0202328869744961,0.0516370010445826,0,27571.1423537413,0,3226.33742433649,818.816171747162,1286.60240300572,18725.2258481528,3477.85631392012,36.3558295800353
370.869527855122,781.019706106909,969.895729392482,3060.61156132332,294.523877271525,34.5828342644449,1.7237405896987,0.455270745349444,0.714272485847813,7.8780438157643,3.03699428539419,0.0201833473272989,0.0515103195793927,0,27583.755038989,0,3218.49645946831,818.061488287055,1283.45345881309,18758.1165386575,3469.41179071531,36.2668133673107
370.875507184714,781.7613784757,969.899566550462,3069.64160112928,294.529074259436,34.5829088720612,1.72023337788617,0.454884365443265,0.712808851114767,7.88961617641978,3.03082063303633,0.0201418613341086,0.0514045222662389,0,27594.3096869921,0,3211.94794000506,817.367214551432,1280.82350022195,18785.6710553471,3462.35911288015,36.1922685087204
370.880500033713,782.344963740332,969.902749116697,3077.20573284069,294.533411029947,34.5828974598409,1.71730628078288,0.454534252271752,0.711587299844717,7.89930203260751,3.02566808807398,0.0201073077518795,0.0513162265415303,0,27603.1347093145,0,3206.48258650596,816.73810735515,1278.62853368785,18808.7336865529,3456.47293116076,36.1301802783812
370.884666392971,782.80398325504,969.905394492232,3083.53511993638,294.53702793816,34.5829333546952,1.71486476457591,0.454220747915077,0.710568392849502,7.90740262470176,3.02137027041347,0.0200784440078445,0.0512425797642209,0,27610.5083165091,0,3201.92388938249,816.174781371159,1276.79769219091,18828.0217045037,3451.56317570371,36.0783159369008
370.888141163677,783.164925234898,969.907595888883,3088.82654800287,294.540043099104,34.5829352769635,1.71282924772702,0.453942681020522,0.709718922596797,7.9141728889716,3.01778711044581,0.0200544067485535,0.0511811806936748,0,27616.6656000536,0,3198.12325730914,815.675131833106,1275.27130617493,18844.1421284492,3447.46983331594,36.0351241519886
370.8910378233,783.448690280169,969.909428841354,3093.24689604098,294.542555672055,34.5829541408032,1.71113288798639,0.453697953026548,0.70901099451524,7.91982809430767,3.01480095756937,0.0200343585868608,0.0511300126090646,0,27621.8045251693,0,3194.95588522785,815.235387902662,1273.99925277393,18857.6075271224,3444.05850190573,35.9991002493784
