"sci_name","comm_name","year","catch_mt","value_usd","name_label"
"Lachnolaimus maximus","Hogfish",1995,26.551886253,4928.84421452548,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",1996,28.0042109836,6826.79460237306,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",1997,24.958286841,6795.00413269979,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",1998,24.1523119597,7370.1998404834,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",1999,23.3221334726,7871.61123846949,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2000,21.2775311969,9650.14647914364,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2001,21.5634241471,12341.6927362231,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2002,22.2495192149,12759.8010950274,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2003,22.4252886188,13546.1670830936,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2004,22.4643877527,15523.5067200209,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2005,22.5446586488,17664.4547170089,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2006,22.4797667764,20462.4657737474,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2007,22.2722146035,17895.8436369757,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2008,21.1381724881,22086.4519806728,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2009,21.7505342477,20656.5016873048,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2010,22.5596174316,23170.6161092758,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2011,23.264211197,55595.9588896784,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2012,23.929319344,72982.7395423937,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2013,24.5499910027,71763.0145948817,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2014,25.1210665862,82271.4910849516,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2015,25.6507500963,97031.9309011822,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2016,26.0919325284,99157.0745951567,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2017,26.479800292,124056.335318534,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2018,26.7940527281,45567.5625393294,"Hogfish
(Lachnolaimus maximus)"
"Lachnolaimus maximus","Hogfish",2019,26.7769115434,47679.0523451653,"Hogfish
(Lachnolaimus maximus)"
"Lutjanus analis","Mutton snapper",1950,510.9550027054,611671.461197104,"Mutton snapper
(Lutjanus analis)"
