"sci_name","comm_name","year","gear_type","catch_mt","value_usd","name_label"
"Lutjanus analis","Mutton snapper",1997,"subsistence fishing gear",260.6478573388,742740.309737731,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1998,"small scale gillnets",144.5010539904,398500.671663185,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1998,"small scale pole lines",173.6420589271,478864.860847426,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1998,"subsistence fishing gear",247.786168317,683337.261399518,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1999,"small scale gillnets",125.3630165372,353321.370726087,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1999,"small scale pole lines",178.5297187997,503165.660049084,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",1999,"subsistence fishing gear",242.5840680038,683695.541085071,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2000,"small scale gillnets",115.6913755716,321208.427421424,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2000,"small scale pole lines",139.8170148103,388191.455344796,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2000,"subsistence fishing gear",243.0599436477,674837.704042107,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2001,"small scale hand lines",227.9241316154,597655.820197928,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2001,"subsistence fishing gear",234.721589806,615479.911141544,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2002,"small scale hand lines",212.0438141014,544259.64305596,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2002,"subsistence fishing gear",225.5485261545,578922.619633564,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2003,"small scale hand lines",188.9902380145,465421.723392476,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2003,"subsistence fishing gear",215.6285946765,531023.365023663,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2004,"small scale hand lines",166.9640171013,386990.367585362,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2004,"subsistence fishing gear",205.0505564083,475267.614997013,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2005,"small scale hand lines",148.8058969692,364708.224075729,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2005,"subsistence fishing gear",193.9040914386,475239.343802884,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2006,"small scale hand lines",131.3493786593,340597.476573334,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2006,"subsistence fishing gear",182.2797989094,472663.366759027,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2007,"small scale hand lines",114.7769470156,293058.371937762,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2007,"subsistence fishing gear",170.2691970152,434745.956970093,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2008,"small scale hand lines",89.999357041,231064.439266534,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2008,"subsistence fishing gear",157.9647230034,405558.787803585,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2009,"small scale hand lines",84.3079508995,234727.583347875,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2009,"subsistence fishing gear",149.280834612,415623.072020724,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2010,"small scale hand lines",80.7912685976,207818.410718339,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2010,"subsistence fishing gear",140.6722891123,361849.641215987,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2011,"small scale hand lines",77.3313496301,230896.624627991,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2011,"subsistence fishing gear",131.0193645786,391198.772384402,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2012,"small scale hand lines",73.7697382031,146896.972896056,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2012,"subsistence fishing gear",121.2677922134,241479.392767866,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2013,"small scale hand lines",70.1020747323,237414.166804339,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2013,"subsistence fishing gear",111.4633128915,377491.959552739,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2014,"small scale hand lines",66.3239226357,237159.025723343,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2014,"subsistence fishing gear",101.65491225,363494.48270124,"Mutton snapper
(Lutjanus analis)"
"Lutjanus analis","Mutton snapper",2015,"small scale hand lines",62.5134534633,223902.860680409,"Mutton snapper
(Lutjanus analis)"
