sci_name,comm_name,year,gear_type,catch_mt,value_usd,name_label
Epinephelus striatus,Nassau grouper,1982,subsistence fishing gear,13.70069709,17710.2746,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1983,small scale gillnets,15.35114586,22373.97272,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1983,small scale pole lines,0.386321755,563.0558453,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1983,subsistence fishing gear,11.82569028,17235.69524,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1984,small scale gillnets,11.84594052,31537.66067,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1984,small scale pole lines,1.599248402,4257.707808,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1984,subsistence fishing gear,10.38639003,27651.87312,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1985,small scale gillnets,9.903551786,26487.39588,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1985,small scale pole lines,1.53086198,4094.343945,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1985,subsistence fishing gear,8.665586235,23176.41368,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1986,small scale gillnets,10.71405313,40544.80557,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1986,small scale pole lines,2.225630225,8422.37234,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1986,subsistence fishing gear,9.560316641,36178.76209,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1987,small scale gillnets,10.24186574,32635.56178,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1987,small scale pole lines,2.036302653,6488.649896,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1987,subsistence fishing gear,8.813456611,28083.9561,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1988,small scale gillnets,9.42931747,35670.18392,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1988,small scale pole lines,2.058389039,7786.684014,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1988,subsistence fishing gear,8.19554349,31002.93786,"Nassau grouper
(Epinephelus striatus)"
Epinephelus striatus,Nassau grouper,1989,small scale gillnets,8.565119725,32110.83085,"Nassau grouper
(Epinephelus striatus)"
