"stock.s_1","stock.s_2","stock.s_3","stock.s_4","stock.s_5","stock.s_6","harvest.s_1","harvest.s_2","harvest.s_3","harvest.s_4","harvest.s_5","harvest.s_6","effort.t_1","effort.t_2","effort.t_3","effort.t_4","effort.t_5","effort.t_6","profit_per_t.t_1","profit_per_t.t_2","profit_per_t.t_3","profit_per_t.t_4","profit_per_t.t_5","profit_per_t.t_6","rev_per_sp.s_1","rev_per_sp.s_2","rev_per_sp.s_3","rev_per_sp.s_4","rev_per_sp.s_5","rev_per_sp.s_6","mortality1","mortality2","mortality3","mortality4","mortality5","mortality6"
371.776065607728,164.428377955464,666.283947470613,405.392686354233,243.3472979187,372.039576823038,56.3934674122576,56.8790405907918,118.049178106148,60.8028116291032,63.7920025804219,63.2098301380311,1.13379917585371,5.06252013248195,0.56130393143394,0.750076660697232,2.79609527734647,1.03428688532586,30834.1284767583,84192.9755785126,284947.95667686,90005.6458976196,94428.498945321,93568.4709454591,93569.5052323444,94431.2950405983,90006.3959742802,284948.517980791,84198.0380986451,30835.2622759342,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
365.415476225794,164.148186264365,658.0547862101,398.287396664536,242.199166304045,367.021824818383,55.3228953497512,56.7400160607809,116.376841546796,59.6230311809093,63.4073256188366,62.2410246779825,1.13379917585371,5.06252013248013,0.561303931346629,0.750076660704508,2.7960952773501,1.03428688531858,30248.7526903867,83987.1775806399,280911.250688749,88259.2170181363,93859.061677554,92134.3483198297,92135.382606715,93861.8577728313,88259.967094797,280911.811992681,83992.2401007724,30249.8864895625,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
359.769559509009,163.952970576227,650.954149910752,391.968634088207,241.303593915425,362.656796865498,54.3763948799142,56.6433290943902,114.939490705998,58.5780224197537,63.108164889351,61.4015709057361,1.13379917585189,5.06252013248013,0.561303931375733,0.750076660697232,2.79609527734647,1.03428688532586,29731.217742263,83844.0518739604,277441.756038516,86712.2906534985,93416.2140796124,90891.7049847187,90892.739271604,93419.0101748898,86713.0407301592,277442.317342447,83849.1143940928,29732.3515414388,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
354.740345335123,163.816789025,644.80663432363,386.329490977799,240.603397585538,358.846573717012,53.5362427330431,56.575965167202,113.699254262472,57.6486919428004,62.8748117740871,60.6713157672471,1.13379917585189,5.06252013248013,0.561303931317525,0.75007666068268,2.79609527734647,1.03428688531858,29271.8327640158,83744.3330592801,274448.058477905,85336.6028413976,93070.7814864227,89810.7083762389,89811.7426631243,93073.5775817,85337.3529180583,274448.619781836,83749.3955794126,29272.9665631917,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
350.246476957082,163.721706498176,639.468857709494,381.281096268729,240.054961459622,355.510742831477,52.7878602652849,56.5289724065854,112.625495174959,56.8193163370166,62.6923664497875,60.0338776890687,1.13379917585189,5.06252013248013,0.561303931346629,0.750076660704508,2.79609527734647,1.03428688532586,28862.6263304526,83674.7696804387,271856.205950306,84108.8782150934,92800.7076911065,88867.1088528553,88868.1431397406,92803.5037863839,84109.6282917541,271856.767254237,83679.8322005711,28863.7601296284,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
346.219813048036,163.655279082894,634.822537402278,376.748942663851,239.624784490635,352.582667061722,52.1191410201231,56.4961618652048,111.693169577539,56.0768249065461,62.5494642342524,59.4758039099341,1.13379917585371,5.06252013248013,0.561303931375733,0.750076660689956,2.79609527734647,1.03428688531858,28496.978778356,83626.200239314,269605.74727264,83009.7682248169,92589.1695557401,88040.9922934097,88042.026580295,92591.9656510175,83010.5183014776,269606.308576571,83631.2627594465,28498.1125775319,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
342.602837531303,163.608851250122,630.769305290384,372.67008302717,239.286992337797,350.006677835787,51.5199450883339,56.4732394678859,110.88161755944,55.4102595136442,62.4373759908271,58.9859462502867,1.13379917585371,5.06252013248013,0.561303931375733,0.750076660704508,2.79609527734283,1.0342868853113,28169.3457286568,83592.2682168551,267646.813305191,82023.0515403608,92423.2453402064,87315.8560488195,87316.8903357048,92426.0414354837,82023.8016170215,267647.374609122,83597.3307369876,28170.4795278326,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
339.346660567671,163.576392014805,627.226768951631,368.99096395452,239.021513879789,347.735934286746,50.9817136729581,56.4572184135527,110.173657607751,54.8103622197313,62.3493598214671,58.5549915383092,1.13379917585371,5.06252013248013,0.561303931375733,0.750076660697232,2.7960952773501,1.03428688532586,27875.0473352466,83568.5522517278,265937.931106602,81135.0236361713,92292.9550135045,86677.9138317746,86678.9481186599,92295.7511087818,81135.7737128321,265938.492410533,83573.6147718603,27876.1811344224,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
336.409458254259,163.553693984153,624.125479559067,365.665732874644,238.812726043761,345.730769578553,50.4971716217238,56.4460175639419,109.554898611724,54.2692566730144,62.2801859321516,58.1751034451301,1.13379917585189,5.06252013248013,0.561303931404836,0.750076660697232,2.79609527734647,1.03428688531858,27610.1056333238,83551.971635169,264444.363241636,80334.0251494769,92190.5569120681,86115.5655254304,86116.5998123157,92193.3530073455,80334.7752261376,264444.924545567,83557.0341553015,27611.2394324997,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
333.75524207556,163.537819449516,621.406569612604,362.654901576342,238.64843503349,343.957398701635,50.0600952436625,56.438185055711,109.013210243519,53.7801991166196,62.2257835269576,57.8396458387097,1.13379917585189,5.06252013248013,0.561303931404836,0.750076660689956,2.79609527734647,1.03428688532586,27371.1175843427,83540.377174018,263136.829379869,79610.0732976514,92110.0250370997,85618.9876641921,85620.0219510774,92112.821132377,79610.8233743121,263137.390683801,83545.4396941505,27372.2513835186,0.148807038611545,0.345074352531471,0.1746655341089,0.147074757851701,0.260563097108836,0.167296783878659
