"data_layer","uncertainty_score","year","sci_name","comm_name","functional_group","commercial_group","fishing_entity","fishing_sector","catch_type","reporting_status","gear_type","end_use_type","catch_mt","value_usd"
"Reconstructed domestic catch",2,1969,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",41.7213697547,32871.8708766877
"Reconstructed domestic catch",2,1969,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",0.2324717632,183.162293705678
"Reconstructed domestic catch",1,1969,"Caranx hippos","Crevalle jack","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",121.4129044347,31412.3594392196
"Reconstructed domestic catch",2,1969,"Caranx hippos","Crevalle jack","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",7.2775090728,1882.86189085112
"Reconstructed domestic catch",2,1969,"Caranx hippos","Crevalle jack","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",135.6515193839,35096.2223101758
"Reconstructed domestic catch",1,1969,"Euthynnus alletteratus","Little tunny ","Large pelagics (>=90 cm)","Tuna & billfishes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",0.7740907936,279.992123443151
"Reconstructed domestic catch",2,1969,"Euthynnus alletteratus","Little tunny ","Large pelagics (>=90 cm)","Tuna & billfishes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.046399127,16.7827730352333
"Reconstructed domestic catch",2,1969,"Euthynnus alletteratus","Little tunny ","Large pelagics (>=90 cm)","Tuna & billfishes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",0.8648717595,312.828007347643
"Reconstructed domestic catch",1,1969,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",1.7574728017,1406.15381289271
"Reconstructed domestic catch",2,1969,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.1053432032,84.2850863238569
"Reconstructed domestic catch",2,1969,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",1.963579217,1571.05953518306
"Reconstructed domestic catch",1,1969,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",17.9035066818,33022.8927499655
"Reconstructed domestic catch",2,1969,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.4296714422,792.525967508851
"Reconstructed domestic catch",2,1969,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.6434676357,1186.87154972898
"Reconstructed domestic catch",2,1969,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",8.0090018978,14772.5479374934
"Reconstructed domestic catch",2,1969,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",11.9941262292,22123.0818709075
"Reconstructed domestic catch",1,1969,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",163.4315140617,207639.411752322
"Reconstructed domestic catch",2,1969,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",9.7961113105,12445.9398277185
"Reconstructed domestic catch",2,1969,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",182.5978325855,231990.181104163
"Reconstructed domestic catch",3,1969,"Lutjanus vivanus","Silk snapper","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Industrial","Discards","Unreported","shrimp trawl",NA,111.546874857,NA
"Reconstructed domestic catch",1,1969,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",333.8575264089,791093.437132338
"Reconstructed domestic catch",2,1969,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",20.0114739762,47418.2682062137
"Reconstructed domestic catch",2,1969,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",373.0104384373,883868.376440789
"Reconstructed domestic catch",1,1969,"Lutjanus griseus","Grey snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",17.9035066818,28071.6958806305
"Reconstructed domestic catch",2,1969,"Lutjanus griseus","Grey snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",1.0731390779,1682.62197837994
"Reconstructed domestic catch",2,1969,"Lutjanus griseus","Grey snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",20.003128127,31363.7847280002
"Reconstructed domestic catch",1,1969,"Centropomus undecimalis","Common snook","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",16.9468543733,24042.6887148322
"Reconstructed domestic catch",2,1969,"Centropomus undecimalis","Common snook","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",1.0157971843,1441.12263907924
