"data_layer","uncertainty_score","year","sci_name","comm_name","functional_group","commercial_group","fishing_entity","fishing_sector","catch_type","reporting_status","gear_type","end_use_type","catch_mt","value_usd"
"Reconstructed domestic catch",1,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",235.3255788696,93068.0982781883
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","artisanal fishing gear","Direct human consumption",0.2219550131,87.78021952127
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale seine nets","Direct human consumption",8.512610862,3366.62299150838
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",1.5658685698,619.279938208152
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale other nets","Direct human consumption",8.5837371396,3394.75247670149
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.0729132395,28.836204600379
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale longline","Direct human consumption",0.0876934064,34.6815616254857
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","artisanal fishing gear","Direct human consumption",1.9329357492,764.450065898826
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale seine nets","Direct human consumption",107.1142678577,42362.2508690333
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",15.8521134588,6269.2974575506
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale other nets","Direct human consumption",74.7221741561,29551.6139015787
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.030867677,12.2077506996139
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",0.6349782565,251.125351784868
"Reconstructed domestic catch",2,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",0.763694038,302.030710502524
"Reconstructed domestic catch",1,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",15.8266641188,22619.3275013176
"Reconstructed domestic catch",2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.4991344548,713.358520565639
"Reconstructed domestic catch",2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.5740046231,820.362298650484
"Reconstructed domestic catch",2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",6.289094131,8988.31735912698
"Reconstructed domestic catch",2,1950,"Lutjanus","Snappers","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",7.2324582507,10336.564962996
"Reconstructed domestic catch",2,1950,"Sphyrna","Hammerhead sharks","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",115.82738975,66465.0601916657
"Reconstructed domestic catch",1,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",6.9461892817,5230.42117739786
"Reconstructed domestic catch",2,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.3071807753,231.304499086036
"Reconstructed domestic catch",2,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.1638109072,123.348213404053
"Reconstructed domestic catch",2,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",3.8704777686,2914.43668848406
"Reconstructed domestic catch",2,1950,"Epinephelus guttatus","Red hind","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",2.0640174301,1554.18748889107
"Reconstructed domestic catch",1,1950,"Epinephelus itajara","Atlantic goliath grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",9.9222733554,5178.20529835086
"Reconstructed domestic catch",2,1950,"Epinephelus itajara","Atlantic goliath grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.6727873416,351.112174833371
"Reconstructed domestic catch",2,1950,"Epinephelus itajara","Atlantic goliath grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",8.4771205045,4424.01340290048
"Reconstructed domestic catch",1,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",49.9898169456,37641.9050220266
"Reconstructed domestic catch",2,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.1964756598,147.944493036566
"Reconstructed domestic catch",2,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.1047749685,78.8946560535386
"Reconstructed domestic catch",2,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",41.3887678226,31165.3885241088
"Reconstructed domestic catch",2,1950,"Epinephelus striatus","Nassau grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",1.3201646035,994.072666274588
"Reconstructed domestic catch",1,1950,"Caranx hippos","Crevalle jack","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",107.3287648244,19198.9704070168
"Reconstructed domestic catch",2,1950,"Caranx hippos","Crevalle jack","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",7.2775090728,1301.80088771606
"Reconstructed domestic catch",2,1950,"Caranx hippos","Crevalle jack","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",91.6966143175,16402.6911852224
"Reconstructed domestic catch",1,1950,"Euthynnus alletteratus","Little tunny ","Large pelagics (>=90 cm)","Tuna & billfishes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",0.6842947142,224.007505343909
"Reconstructed domestic catch",2,1950,"Euthynnus alletteratus","Little tunny ","Large pelagics (>=90 cm)","Tuna & billfishes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.046399127,15.1890004062501
"Reconstructed domestic catch",2,1950,"Euthynnus alletteratus","Little tunny ","Large pelagics (>=90 cm)","Tuna & billfishes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",0.5846290003,191.381405118752
"Reconstructed domestic catch",1,1950,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",1.5536024436,1566.01885145721
"Reconstructed domestic catch",2,1950,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.1053432032,106.185107210853
"Reconstructed domestic catch",2,1950,"Scomberomorus cavalla","King mackerel","Large pelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",1.32732436,1337.93235085676
"Reconstructed domestic catch",1,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",15.8266641188,22619.3275013176
"Reconstructed domestic catch",2,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.4991344548,713.358520565639
"Reconstructed domestic catch",2,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.5740046231,820.362298650484
"Reconstructed domestic catch",2,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",6.289094131,8988.31735912698
"Reconstructed domestic catch",2,1950,"Lutjanus jocu","Dog snapper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",7.2324582507,10336.564962996
"Reconstructed domestic catch",1,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",144.4731317424,206479.714075378
"Reconstructed domestic catch",2,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",9.7961113105,14000.5150995206
"Reconstructed domestic catch",2,1950,"Lutjanus synagris","Lane snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",123.4310025118,176406.490253959
"Reconstructed domestic catch",1,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",295.1293859878,518571.12843032
"Reconstructed domestic catch",2,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",20.0114739762,35162.1123957663
"Reconstructed domestic catch",2,1950,"Ocyurus chrysurus","Yellowtail snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",252.1445721002,443042.616186655
"Reconstructed domestic catch",1,1950,"Lutjanus griseus","Grey snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",15.8266641188,17968.0739412415
"Reconstructed domestic catch",2,1950,"Lutjanus griseus","Grey snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",1.0731390779,1218.33901044545
"Reconstructed domestic catch",2,1950,"Lutjanus griseus","Grey snapper","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",13.5215523817,15351.0715316125
"Reconstructed domestic catch",1,1950,"Centropomus undecimalis","Common snook","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",14.9809853904,16017.5463308998
"Reconstructed domestic catch",2,1950,"Centropomus undecimalis","Common snook","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",1.0157971843,1086.08199244777
"Reconstructed domestic catch",2,1950,"Centropomus undecimalis","Common snook","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",12.7990445217,13684.6331048419
"Reconstructed domestic catch",1,1950,"Pogonias cromis","Black drum","Large demersals (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,9562.41817961034
"Reconstructed domestic catch",2,1950,"Pogonias cromis","Black drum","Large demersals (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,648.387085923077
"Reconstructed domestic catch",2,1950,"Pogonias cromis","Black drum","Large demersals (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",9.6923076923,8169.67728263077
"Reconstructed domestic catch",1,1950,"Mugil cephalus","Flathead grey mullet","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,9535.69691213079
"Reconstructed domestic catch",2,1950,"Mugil cephalus","Flathead grey mullet","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,646.575229923077
"Reconstructed domestic catch",2,1950,"Mugil cephalus","Flathead grey mullet","Large benthopelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",9.6923076923,8146.84789703077
"Reconstructed domestic catch",2,1950,"Carcharhinus leucas","Bull shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",2.3734761634,0.096892555078335
"Reconstructed domestic catch",2,1950,"Carcharhinus leucas","Bull shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.0143044444,0.000583951162023585
"Reconstructed domestic catch",2,1950,"Carcharhinus leucas","Bull shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",7.9266977489,0.323592041951774
"Reconstructed domestic catch",2,1950,"Carcharhinus limbatus","Blacktip shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",4.7462930278,2723.55832639921
"Reconstructed domestic catch",2,1950,"Carcharhinus limbatus","Blacktip shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.0286049153,16.4143163347691
"Reconstructed domestic catch",2,1950,"Carcharhinus limbatus","Blacktip shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",15.8511936373,9095.867061218
"Reconstructed domestic catch",2,1950,"Negaprion brevirostris","Lemon shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",13.1046651501,0.534972505492695
"Reconstructed domestic catch",2,1950,"Negaprion brevirostris","Lemon shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.0789790757,0.00322416738809873
"Reconstructed domestic catch",2,1950,"Negaprion brevirostris","Lemon shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",43.7656469229,1.78664754273928
"Reconstructed domestic catch",2,1950,"Rhizoprionodon porosus","Caribbean sharpnose shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",8.3279865381,0.339973877467841
"Reconstructed domestic catch",2,1950,"Rhizoprionodon porosus","Caribbean sharpnose shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale pots or traps","Direct human consumption",0.0501910329,0.00204895144569678
"Reconstructed domestic catch",2,1950,"Rhizoprionodon porosus","Caribbean sharpnose shark","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",27.8129745575,1.13541067351499
"Reconstructed domestic catch",2,1950,"Sphyrna lewini","Scalloped hammerhead","Large sharks (>=90 cm)","Sharks & rays","Belize","Artisanal","Landings","Unreported","small scale longline","Direct human consumption",40.5893824219,23291.3454376978
"Reconstructed domestic catch",1,1950,"Alectis ciliaris","African pompano","Large pelagics (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,0.463122155127609
"Reconstructed domestic catch",2,1950,"Alectis ciliaris","African pompano","Large pelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,0.0314023523076923
"Reconstructed domestic catch",2,1950,"Alectis ciliaris","African pompano","Large pelagics (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",9.6923076923,0.395669639076923
"Reconstructed domestic catch",1,1950,"Selene vomer","Lookdown","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,5468.32949331343
"Reconstructed domestic catch",2,1950,"Selene vomer","Lookdown","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,370.784268
"Reconstructed domestic catch",2,1950,"Selene vomer","Lookdown","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",9.6923076923,4671.8817768
"Reconstructed domestic catch",1,1950,"Trachinotus goodei","Great pompano","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",0.8287569316,0.0338323922865312
"Reconstructed domestic catch",2,1950,"Trachinotus goodei","Great pompano","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.0561944983,0.00229403126201329
"Reconstructed domestic catch",2,1950,"Trachinotus goodei","Great pompano","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",0.7080506782,0.0289047939013675
"Reconstructed domestic catch",1,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,0.463122155127609
"Reconstructed domestic catch",2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale seine nets","Direct human consumption",0.0700558863,0.00285989550905659
"Reconstructed domestic catch",2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.5617414825,0.0229320051219559
"Reconstructed domestic catch",2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.1374334004,0.00561045167667977
"Reconstructed domestic catch",2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale seine nets","Direct human consumption",0.8827041672,0.0360346834141131
"Reconstructed domestic catch",2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",7.0779426798,0.288943264536644
"Reconstructed domestic catch",2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",1.7316608454,0.0706916911261652
"Reconstructed domestic catch",1,1950,"Gerres cinereus","Yellow fin mojarra","Small reef assoc. fish (<30 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,0.463122155127609
"Reconstructed domestic catch",2,1950,"Gerres cinereus","Yellow fin mojarra","Small reef assoc. fish (<30 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",9.6923076923,0.395669639076923
"Reconstructed domestic catch",1,1950,"Lachnolaimus maximus","Hogfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,0.463122155127609
"Reconstructed domestic catch",2,1950,"Lachnolaimus maximus","Hogfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,0.0314023523076923
"Reconstructed domestic catch",2,1950,"Lachnolaimus maximus","Hogfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",9.6923076923,0.395669639076923
"Reconstructed domestic catch",1,1950,"Megalops atlanticus","Tarpon","Large pelagics (>=90 cm)","Other fishes & inverts","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",0.4232489528,95.5926033750264
"Reconstructed domestic catch",2,1950,"Megalops atlanticus","Tarpon","Large pelagics (>=90 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.0286987193,6.48172966021231
"Reconstructed domestic catch",2,1950,"Megalops atlanticus","Tarpon","Large pelagics (>=90 cm)","Other fishes & inverts","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",0.3616038632,81.6697937186752
"Reconstructed domestic catch",1,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,0.463122155127609
"Reconstructed domestic catch",2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale seine nets","Direct human consumption",0.0700558863,0.00285989550905659
"Reconstructed domestic catch",2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.5617414825,0.0229320051219559
"Reconstructed domestic catch",2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.1374334004,0.00561045167667977
"Reconstructed domestic catch",2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale seine nets","Direct human consumption",0.8827041672,0.0360346834141131
"Reconstructed domestic catch",2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",7.0779426798,0.288943264536644
"Reconstructed domestic catch",2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",1.7316608454,0.0706916911261652
"Reconstructed domestic catch",1,1950,"Haemulon sciurus","Bluestriped grunt","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",47.8095560815,1.9517322808704
"Reconstructed domestic catch",2,1950,"Haemulon sciurus","Bluestriped grunt","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",3.2417635544,0.132338701605196
"Reconstructed domestic catch",2,1950,"Haemulon sciurus","Bluestriped grunt","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",40.8462207859,1.66746764022548
"Reconstructed domestic catch",1,1950,"Mycteroperca bonaci","Black grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",2.9475361206,2219.46951361795
"Reconstructed domestic catch",2,1950,"Mycteroperca bonaci","Black grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale pole lines","Direct human consumption",0.1998599434,150.492829658751
"Reconstructed domestic catch",2,1950,"Mycteroperca bonaci","Black grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale pole lines","Direct human consumption",2.5182352865,1896.20965370027
"Reconstructed domestic catch",1,1950,"Archosargus rhomboidalis","Western Atlantic seabream","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,0.463122155127609
"Reconstructed domestic catch",2,1950,"Archosargus rhomboidalis","Western Atlantic seabream","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,0.0314023523076923
"Reconstructed domestic catch",2,1950,"Archosargus rhomboidalis","Western Atlantic seabream","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",9.6923076923,0.395669639076923
"Reconstructed domestic catch",1,1950,"Calamus calamus","Saucereye porgy","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",11.3446218342,0.463122155127609
"Reconstructed domestic catch",2,1950,"Calamus calamus","Saucereye porgy","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Reported","small scale gillnets","Direct human consumption",0.7692307692,0.0314023523076923
"Reconstructed domestic catch",2,1950,"Calamus calamus","Saucereye porgy","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize","Artisanal","Landings","Unreported","small scale gillnets","Direct human consumption",9.6923076923,0.395669639076923
"Reconstructed domestic catch",1,1950,"Sphyraena barracuda","Great barracuda","Large pelagics (>=90 cm)","Perch-likes","Belize","Subsistence","Landings","Unreported","subsistence fishing gear","Direct human consumption",64.0088807202,80987.1732824992
